case_code,date,year,month,day,hour,zip_code,escalated,mobile,city,state,location_primary,school_level,offender_count,relationship,weapon_primary,weapon_pistol_tot,weapon_shotgun_tot,weapon_rifle_tot,weapon_tot,shot_tot,shot_tot_incl,shot_cit_tot,shot_le_tot,shot_guard_tot,wound_tot,wound_tot_incl,wound_cit_tot,wound_le_tot,wound_guard_tot,kill_tot,kill_tot_incl,kill_cit_tot,kill_le_tot,kill_guard_tot,resolution,resolved_pre_le,age_1,age_2,age_3,sex_1,sex_2,sex_3,race_1,race_2,race_3
248,2016-09-17,2016,Sep,Sat,23,19104,No,Yes,Philidelphia,PA,Outdoors,,1,No relationship,Pistol,1,0,0,1,6,6,4,2,0,5,5,3,2,0,1,1,1,0,0,Shot by police,No,25,,,Male,,,African American,,
249,2016-09-17,2016,Sep,Sat,20,56301,No,No,St. Cloud,MN,Business,,1,No relationship,Knife,0,0,0,2,0,0,0,0,0,10,,10,0,0,0,,0,0,0,Shot by off duty officer,No,22,,,Male,,,African American,,
250,2016-09-23,2016,Sep,Fri,18,98233,No,No,Burlington,WA,Business,,1,No relationship,Rifle,0,0,1,1,5,5,5,0,0,0,0,0,0,0,5,5,5,0,0,Fled,Yes,20,,,Male,,,Middle Eastern,,
251,2016-09-26,2016,Sep,Mon,6,77005,No,No,Houston,TX,Outdoors,,1,No relationship,Pistol,1,0,0,1,9,9,9,0,0,9,9,9,0,0,0,0,0,0,0,Shot by police,No,46,,,Male,,,Caucasian,,
252,2016-09-28,2016,Sep,Wed,13,29689,No,No,Townville,SC,School,Elementary school,1,Student,Pistol,1,0,0,1,4,5,4,0,0,3,3,3,0,0,1,2,1,0,0,Subdued by citizens,Yes,14,,,Male,,,Caucasian,,
253,2016-10-03,2016,Oct,Mon,15,74074,No,No,Stillwater,OK,Business,,1,No relationship,Knife,0,0,0,1,0,0,0,0,0,2,,2,0,0,0,,0,0,0,Subdued by citizens,Yes,53,,,Male,,,Caucasian,,
254,2016-10-25,2016,Oct,Tue,6,24042,No,No,Roanoke,VA,Business,,1,Other,Pistol,1,0,0,1,4,4,4,0,0,3,3,3,0,0,1,1,1,0,0,Suicide before police arrival,Yes,53,,,Male,,,African American,,
255,2016-11-04,2016,Nov,Fri,14,08901,No,No,New Brunswick,NJ,School,University,1,Student,Knife,0,0,0,1,0,0,0,0,0,2,,2,0,0,0,,0,0,0,Suicide after police arrival,No,25,,,Male,,,Caucasian,,
256,2016-11-16,2016,Nov,Wed,7,84097,No,No,Orem,OR,School,High school,1,Student,Knife,0,0,0,1,0,0,0,0,0,5,,5,0,0,0,,0,0,0,Suicide after police arrival,No,16,,,Male,,,Caucasian,,
257,2016-11-28,2016,Nov,Mon,3,78572,No,No,Palmview,TX,Business,,1,Coworker,Pistol,1,0,0,1,4,4,4,0,0,3,3,3,0,0,1,1,1,0,0,Fled,No,25,,,Male,,,Latino,,
258,2016-11-28,2016,Nov,Mon,9,43218,No,No,Columbus,OH,School,University,1,Student,Vehicle,0,0,0,1,0,0,0,0,0,11,,11,0,0,0,,0,0,0,Shot by police,No,18,,,Male,,,African American,,
259,2017-01-06,2017,Jan,Fri,13,33315,No,No,Fort Lauderdale,FL,Business,,1,No relationship,Pistol,1,0,0,1,13,13,13,0,0,8,8,8,0,0,5,5,5,0,0,Surrendered,Yes,26,,,Male,,,Latino,,
260,2017-01-20,2017,Jan,Fri,7,43357,No,No,West Liberty,OH,School,High school,1,Student,Shotgun,0,1,0,1,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,Subdued by citizens,Yes,17,,,Male,,,Caucasian,,
