case_code,date,year,month,day,hour,zip_code,escalated,mobile,city,state,location_primary,school_level,offender_count,relationship,weapon_primary,weapon_pistol_tot,weapon_shotgun_tot,weapon_rifle_tot,weapon_tot,shot_tot,shot_tot_incl,shot_cit_tot,shot_le_tot,shot_guard_tot,wound_tot,wound_tot_incl,wound_cit_tot,wound_le_tot,wound_guard_tot,kill_tot,kill_tot_incl,kill_cit_tot,kill_le_tot,kill_guard_tot,resolution,resolved_pre_le,age_1,age_2,age_3,sex_1,sex_2,sex_3,race_1,race_2,race_3
328,2018-11-12,2018,Nov,Mon,18,87105,No,No,Albuquerque,NM,Business,,1,Coworker,Pistol,1,0,0,1,3,3,3,0,0,3,3,3,0,0,0,0,0,0,0,Fled,Yes,30,,,Male,,,Caucasian,,
329,2018-11-19,2018,Nov,Mon,15,60617,No,No,Chicago,IL,Other,,1,Indirect,Pistol,1,0,0,1,3,3,2,1,0,0,0,0,0,0,3,3,2,1,0,Shot by police,No,32,,,Male,,,Latino,,
330,2018-12-09,2018,Dec,Sun,15,46401,No,No,Gary,IN,Business,,1,No relationship,Knife,0,0,0,1,0,0,0,0,0,2,,2,0,0,0,,0,0,0,Subdued by citizens,Yes,34,,,Male,,,,,
331,2018-12-24,2018,Dec,Mon,11,87101,No,No,Albuquerque,NM,Business,,1,No relationship,Rifle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shot by police,No,35,,,Male,,,Latino,,
332,2019-01-23,2019,Jan,Wed,12,33870,No,No,Sebring,FL,Business,,1,No relationship,Pistol,1,0,0,1,5,5,5,0,0,0,0,0,0,0,5,5,5,0,0,Surrendered,No,21,,,Male,,,Caucasian,,
333,2019-01-24,2019,Jan,Thu,22,16803,Yes,Yes,State College,PA,Business,,1,No relationship,Pistol,1,0,0,1,4,4,4,0,0,1,1,1,0,0,3,3,3,0,0,Suicide before police arrival,Yes,21,,,Male,,,Caucasian,,
334,2019-02-12,2019,Feb,Tue,19,92103,No,No,San Diego,CA,Business,,1,No relationship,Rifle,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fled,Yes,29,,,Male,,,African American,,
335,2019-02-15,2019,Feb,Fri,13,60507,No,No,Aurora,IL,Business,,1,Other,Pistol,1,0,0,1,10,11,6,4,0,5,6,1,4,0,5,5,5,0,0,Shot by police,No,45,,,Male,,,African American,,
336,2019-02-21,2019,Feb,Thu,23,42701,No,No,Elizabethtown,KY,Business,,1,No relationship,Pistol,1,0,0,1,4,4,4,0,0,2,2,2,0,0,1,2,1,0,0,Fled,Yes,35,,,Male,,,African American,,
337,2019-02-27,2019,Feb,Wed,18,33403,No,No,West Palm Beach,FL,Other,,1,Indirect,Pistol,1,0,0,1,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,Subdued by citizens,Yes,59,,,Male,,,Caucasian,,
338,2019-03-27,2019,Mar,Wed,16,98125,No,Yes,Lake City,WA,Outdoors,,1,No relationship,Pistol,1,0,0,1,3,4,3,0,0,2,2,2,0,0,2,2,2,0,0,Subdued by police,No,33,,,Male,,,Caucasian,,
339,2019-04-27,2019,Apr,Sat,11,92064,No,No,Poway,CA,Other,,1,No relationship,Rifle,0,0,1,1,2,4,2,0,0,1,3,1,0,0,1,1,1,0,0,Fled,Yes,19,,,Male,,,Caucasian,,
340,2019-04-30,2019,Apr,Tue,17,28223,No,No,Charlotte,NC,School,University,1,Student,Pistol,1,0,0,1,6,6,6,0,0,4,4,4,0,0,2,2,2,0,0,Subdued by citizens,Yes,22,,,Male,,,Caucasian,,
341,2019-05-07,2019,May,Tue,13,80126,No,No,Highlands Ranch,CO,School,High school,2,Student,Rifle,3,0,1,4,7,9,7,0,0,6,8,6,0,0,1,1,1,0,0,Subdued by citizens,Yes,18,16,,Male,Male,,Caucasian,Asian,
342,2019-05-29,2019,May,Wed,5,77327,No,No,Cleveland,TX,Business,,1,No relationship,Pistol,1,0,0,1,4,4,3,1,0,1,1,1,0,0,3,3,2,1,0,Fled,No,65,,,Male,,,Caucasian,,
343,2019-05-31,2019,May,Fri,16,23456,No,No,Virginia Beach,VA,Other,,1,Other,Pistol,2,0,0,2,15,15,14,1,0,4,4,3,1,0,11,11,11,0,0,Shot by police,No,40,,,Male,,,African American,,
344,2019-06-10,2019,Jun,Mon,10,73101,No,No,Oklahoma City,OK,Outdoors,,1,No relationship,Pistol,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shot by police,No,24,,,Male,,,African American,,
345,2019-06-17,2019,Jun,Mon,8,75242,No,No,Dallas,TX,Other,,1,No relationship,Rifle,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shot by police,No,22,,,Male,,,Caucasian,,
346,2019-06-25,2019,Jun,Tue,18,95037,No,No,Morgan Hill,CA,Business,,1,Other,Pistol,2,0,0,2,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,Suicide before police arrival,Yes,60,,,Male,,,Caucasian,,
347,2019-07-09,2019,Jul,Tue,10,98403,No,No,Seattle,WA,Outdoors,,1,No relationship,Knife,0,0,0,1,0,0,0,0,0,3,,3,0,0,0,,0,0,0,Fled,Yes,29,,,Male,,,Caucasian,,
348,2019-07-16,2019,Jul,Tue,17,78216,No,No,San Antonio,TX,Business,,1,Coworker,Pistol,1,0,0,1,4,5,4,0,0,4,5,4,0,0,0,0,0,0,0,Fled,Yes,24,,,Male,,,African American,,
349,2019-07-25,2019,Jul,Thu,2,91340,No,Yes,San Fernando Valley,CA,Business,,1,No relationship,Pistol,1,0,0,1,1,6,1,0,0,1,2,1,0,0,2,4,2,0,0,Fled,Yes,26,,,Male,,,Latino,,
350,2019-07-28,2019,Jul,Sun,17,95020,No,No,Gilroy,CA,Outdoors,,1,No relationship,Rifle,0,0,1,1,20,20,20,0,0,17,17,17,0,0,3,3,3,0,0,Suicide after police arrival,No,19,,,Male,,,Caucasian,,
351,2019-07-30,2019,Jul,Tue,6,38671,No,No,Southaven,MS,Business,,1,Coworker,Pistol,1,0,0,1,3,3,2,1,0,1,1,0,1,0,2,2,2,0,0,Shot by police,No,39,,,Male,,,African American,,
352,2019-08-03,2019,Aug,Sat,10,79925,No,No,El Paso,TX,Business,,1,No relationship,Rifle,0,0,1,1,45,45,45,0,0,22,22,22,0,0,23,23,23,0,0,Fled,Yes,21,,,Male,,,Caucasian,,
353,2019-08-04,2019,Aug,Sun,1,45402,No,No,Dayton,OH,Outdoors,,1,No relationship,Rifle,0,0,1,1,26,36,26,0,0,17,27,17,0,0,9,9,9,0,0,Shot by police,No,24,,,Male,,,Caucasian,,
354,2019-08-12,2019,Aug,Mon,14,60612,No,No,Chicago,IL,Other,,1,No relationship,Rifle,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Subdued by police,No,40,,,Male,,,African American,,
355,2019-08-31,2019,Aug,Sat,15,79763,No,Yes,Odessa,TX,Outdoors,,1,No relationship,Rifle,0,0,1,1,28,28,25,3,0,21,21,18,3,0,7,7,7,0,0,Shot by police,No,36,,,Male,,,Caucasian,,
356,2019-09-11,2019,Sep,Wed,8,32300,No,No,Tallahassee,FL,Business,,1,Coworker,Knife,0,0,0,1,0,0,0,0,0,5,,5,0,0,0,,0,0,0,Subdued by citizens,Yes,41,,,Male,,,African American,,
357,2019-10-06,2019,Oct,Sun,1,66102,Yes,No,Kansas City,KS,Business,,2,No relationship,Pistol,2,0,0,2,9,9,9,0,0,5,5,5,0,0,4,4,4,0,0,Fled,Yes,23,25,,Male,Male,,Latino,Caucasian,
358,2019-10-21,2019,Oct,Mon,7,29150,No,Yes,Sumter,SC,Other,,1,No relationship,Rifle,0,0,1,1,4,4,4,0,0,4,4,4,0,0,0,0,0,0,0,Fled,Yes,25,,,Male,,,African American,,
359,2019-11-14,2019,Nov,Thu,7,91350,No,No,Santa Clarita,CA,School,High school,1,Student,Pistol,1,0,0,1,5,5,5,0,0,3,3,3,0,0,2,2,2,0,0,Suicide before police arrival,Yes,16,,,Male,,,Asian,,
361,2019-12-06,2019,Dec,Fri,6,32508,No,No,Pensacola,FL,Other,,1,Coworker,Pistol,1,0,0,1,11,11,9,2,0,8,8,6,2,0,3,3,3,0,0,Shot by police,No,21,,,Male,,,Middle Eastern,,
362,2019-12-10,2019,Dec,Tue,12,07666,No,Yes,Jersey City,NJ,Outdoors,,2,No relationship,Rifle,2,1,1,4,7,8,4,3,0,3,4,1,2,0,4,4,3,1,0,Shot by police,No,47,50,,Male,Female,,African American,African American,
363,2019-12-28,2019,Dec,Sat,21,10952,No,No,Monsey,NY,Other,,1,No relationship,Knife,0,0,0,1,0,0,0,0,0,5,,5,0,0,0,,0,0,0,Fled,Yes,37,,,Male,,,African American,,
364,2019-12-29,2019,Dec,Sun,11,76108,No,No,White Settlement,TX,Other,,1,No relationship,Shotgun,0,1,0,1,2,4,2,0,0,0,2,0,0,0,2,2,2,0,0,Shot by citizen,Yes,43,,,Male,,,Caucasian,,
365,2020-01-19,2020,Jan,Sun,23,64133,Yes,No,Kansas City,MO,Business,,1,No relationship,Pistol,2,0,0,2,18,18,18,0,0,16,16,16,0,0,2,2,2,0,0,Shot by security,Yes,29,,,Male,,,African American,,
366,2020-02-08,2020,Feb,Sat,20,10459,No,Yes,New York,NY,Outdoors,,1,No relationship,Pistol,1,0,0,1,2,2,0,2,0,2,2,0,2,0,0,0,0,0,0,Surrendered,No,45,,,Male,,,African American,,
367,2020-02-20,2020,Feb,Thu,16,83605,No,No,Caldwell,ID,Other,,1,Indirect,Pistol,1,0,0,1,4,4,4,0,0,3,3,3,0,0,1,1,1,0,0,Suicide after police arrival,No,87,,,Male,,,Caucasian,,
368,2020-02-26,2020,Feb,Wed,14,53208,No,No,Milwaukee,WI,Business,,1,Coworker,Pistol,2,0,0,2,5,5,5,0,0,0,0,0,0,0,5,5,5,0,0,Suicide before police arrival,Yes,51,,,Male,,,African American,,
369,2020-03-15,2020,Mar,Sun,23,65802,No,No,Springfield,MO,Business,,1,No relationship,Rifle,1,0,1,2,6,6,4,2,0,2,2,1,1,0,4,4,3,1,0,Suicide after police arrival,No,31,,,Male,,,African American,,
370,2020-03-27,2020,Mar,Fri,18,74101,Yes,No,Tulsa,OK,Business,,1,No relationship,Pistol,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shot by citizen,Yes,34,,,Female,,,Caucasian,,
371,2020-05-06,2020,May,Wed,18,73101,Yes,No,Oklahoma City,OK,Business,,1,No relationship,Pistol,1,0,0,1,4,4,4,0,0,4,4,4,0,0,0,0,0,0,0,Fled,Yes,32,,,Female,,,African American,,
372,2020-05-17,2020,May,Sun,0,61107,No,No,Rockford,IL,Business,,1,No relationship,Pistol,2,0,0,2,3,3,3,0,0,2,2,2,0,0,1,1,1,0,0,Suicide after police arrival,No,35,,,Male,,,African American,,
373,2020-05-20,2020,May,Wed,19,85305,No,No,Glendale,AZ,Business,,1,No relationship,Rifle,0,0,1,1,3,3,3,0,0,3,3,3,0,0,0,0,0,0,0,Subdued by police,No,20,,,Male,,,Latino,,
374,2020-05-21,2020,May,Thu,6,78419,No,No,Corpus Christi,TX,Other,,1,No relationship,Rifle,1,1,1,3,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,Shot by security,No,20,,,Male,,,Middle Eastern,,
375,2020-05-27,2020,May,Wed,11,66027,No,No,Ft. Leavenworth,KS,Outdoors,,1,No relationship,Rifle,1,0,1,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,Subdued by citizens,Yes,37,,,Male,,,Caucasian,,
376,2020-06-01,2020,Jun,Mon,8,38242,No,No,Paris,TN,Business,,1,Coworker,Pistol,1,0,0,1,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,Suicide after police arrival,No,48,,,Male,,,Caucasian,,
377,2020-06-10,2020,Jun,Wed,3,93446,No,Yes,Paso Robles,CA,Outdoors,,1,No relationship,Pistol,3,0,0,3,5,5,1,4,0,4,4,0,4,0,1,1,1,0,0,Fled,Yes,26,,,Male,,,Latino,,
378,2020-06-12,2020,Jun,Fri,23,78201,Yes,No,San Antonio,TX,Business,,1,No relationship,Rifle,0,0,1,1,8,8,8,0,0,8,8,8,0,0,0,0,0,0,0,Fled,No,37,,,Male,,,African American,,
379,2020-06-19,2020,Jun,Fri,11,32958,No,No,Sebastian,FL,Business,,1,Coworker,Rifle,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,Subdued by police,No,56,,,Male,,,Caucasian,,
380,2020-06-22,2020,Jun,Mon,21,63114,No,No,St. John,MO,Business,,1,No relationship,Pistol,1,0,0,1,3,3,3,0,0,2,2,2,0,0,1,1,1,0,0,Fled,Yes,28,,,Male,,,African American,,
381,2020-06-26,2020,Jun,Fri,11,62703,No,No,Springfield,IL,Business,,1,Coworker,Pistol,2,0,0,2,3,3,3,0,0,0,0,0,0,0,3,3,3,0,0,Fled,Yes,48,,,Male,,,Caucasian,,
382,2020-06-27,2020,Jun,Sat,15,96080,No,No,Red Bluff,CA,Business,,1,Other,Rifle,0,0,1,1,6,6,6,0,0,4,4,4,0,0,2,2,2,0,0,Shot by police,No,31,,,Male,,,Caucasian,,
383,2020-06-27,2020,Jun,Sat,20,40201,No,No,Louisville,KY,Outdoors,,1,No relationship,Pistol,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,Subdued by police,No,23,,,Male,,,African American,,
384,2020-07-25,2020,Jul,Sat,0,95336,No,No,Manteca,CA,Other,,1,Other,Pistol,0,0,0,0,9,9,9,0,0,9,9,9,0,0,0,0,0,0,0,Fled,Yes,,,,Male,,,,,
386,2020-07-30,2020,Jul,Thu,18,33614,No,Yes,Tampa Bay,FL,Outdoors,,1,No relationship,Rifle,0,0,1,1,5,5,4,1,0,5,5,4,1,0,0,0,0,0,0,Subdued by police,No,31,,,Male,,,Latino,,
387,2020-08-01,2020,Aug,Sat,22,83226,No,No,Challis,ID,Outdoors,,1,No relationship,Pistol,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shot by off duty officer,No,73,,,Male,,,Caucasian,,
388,2020-08-17,2020,Aug,Mon,11,77535,No,Yes,Dayton,TX,Other,,1,No relationship,Rifle,0,1,1,2,5,5,5,0,0,2,2,2,0,0,3,3,3,0,0,Fled,Yes,60,,,Male,,,Caucasian,,
389,2020-08-21,2020,Aug,Fri,11,93444,No,No,Nipomo,CA,Business,,1,No relationship,Pistol,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shot by police,No,42,,,Male,,,Caucasian,,
390,2020-09-05,2020,Sep,Sat,18,27856,No,No,Nashville,NC,Outdoors,,1,No relationship,Shotgun,0,1,0,1,3,3,3,0,0,3,3,3,0,0,0,0,0,0,0,Subdued by police,No,33,,,Male,,,Caucasian,,
391,2020-09-05,2020,Sep,Sat,3,32696,Yes,No,Williston,FL,Outdoors,,1,Other,,,,,0,6,6,6,0,0,6,6,6,0,0,0,0,0,0,0,Fled,Yes,,,,Male,,,,,
392,2020-10-03,2020,Oct,Sat,15,95834,No,No,Sacramento,CA,Business,,1,No relationship,Pistol,1,0,0,1,3,3,3,0,0,1,1,1,0,0,2,2,2,0,0,Suicide before police arrival,Yes,33,,,Male,,,Middle Eastern,,
393,2020-10-10,2020,Oct,Sat,2,29556,Yes,No,Kingstree,SC,Business,,1,No relationship,Rifle,0,0,1,1,8,8,8,0,0,8,8,8,0,0,0,0,0,0,0,Fled,Yes,34,,,Male,,,African American,,
394,2020-10-31,2020,Oct,Sat,1,92806,Yes,No,Anaheim,CA,Business,,1,No relationship,Rifle,0,0,0,0,5,5,5,0,0,5,5,5,0,0,0,0,0,0,0,Fled,Yes,34,,,Male,,,Latino,,
395,2020-11-07,2020,Nov,Sat,0,29730,No,No,Rock Hill,SC,Business,,1,No relationship,Pistol,1,0,0,1,4,4,4,0,0,3,3,3,0,0,1,1,1,0,0,Fled,Yes,34,,,Male,,,African American,,
396,2020-11-20,2020,Nov,Fri,14,53226,No,No,Wauwatosa,WI,Business,,1,No relationship,Pistol,1,0,0,1,8,8,8,0,0,8,8,8,0,0,0,0,0,0,0,Fled,Yes,15,,,Male,,,Latino,,
397,2020-11-21,2020,Nov,Sat,21,68005,No,No,Bellevue,NE,Business,,1,No relationship,Shotgun,2,1,0,3,4,4,4,0,0,2,2,2,0,0,2,2,2,0,0,Subdued by police,No,23,,,Male,,,Latino,,
398,2020-11-26,2020,Nov,Thu,0,89015,No,Yes,Henderson,NV,Business,,3,No relationship,Pistol,3,0,0,3,5,5,5,0,0,4,4,4,0,0,1,1,1,0,0,Fled,Yes,28,30,26,Male,Male,Female,Caucasian,Asian,Asian
399,2020-12-04,2020,Dec,Fri,22,60661,No,No,Chicago,IL,Outdoors,,1,Other,,,,,0,4,4,4,0,0,4,4,4,0,0,0,0,0,0,0,Fled,Yes,,,,Male,,,,,
400,2020-12-12,2020,Dec,Sat,18,11726,No,No,Copiague,NY,Business,,1,No relationship,,1,0,0,1,4,4,4,0,0,2,2,2,0,0,2,2,2,0,0,Fled,Yes,62,,,Male,,,Latino,,
401,2020-12-14,2020,Dec,Mon,18,27407,No,No,Greensboro,NC,Other,,1,No relationship,Pistol,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Subdued by police,No,36,,,Male,,,Caucasian,,
402,2020-12-19,2020,Dec,Sat,0,60619,No,No,Chicago,IL,Business,,1,No relationship,,,,,0,5,5,5,0,0,5,5,5,0,0,0,0,0,0,0,Fled,Yes,,,,Male,,,,,
403,2020-12-26,2020,Dec,Sat,18,53138,No,No,Rockford,IL,Business,,1,No relationship,Pistol,2,0,0,2,6,6,6,0,0,3,3,3,0,0,3,3,3,0,0,Subdued by police,No,37,,,Male,,,Caucasian,,
404,2020-12-31,2020,Dec,Thu,22,47452,No,No,Indianapolis,IN,Business,,1,Other,,,,,0,4,4,4,0,0,3,3,3,0,0,1,1,1,0,0,Fled,Yes,,,,Male,,,,,
405,2021-01-09,2021,Jan,Sat,14,60613,No,Yes,Chicago,IL,Business,,1,No relationship,Pistol,1,0,0,1,7,7,6,0,1,2,2,2,0,0,5,5,4,0,1,Shot by police,No,32,,,Male,,,African American,,
406,2021-01-25,2021,Jan,Mon,11,43223,No,Yes,Columbus,OH,Outdoors,,1,No relationship,Shotgun,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Subdued by police,No,26,,,Male,,,Caucasian,,
407,2021-01-25,2021,Jan,Mon,14,77315,No,No,Houston,TX,Other,,1,No relationship,,,,,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,Shot by police,No,43,,,Male,,,Caucasian,,
408,2021-02-09,2021,Feb,Tue,10,55313,No,No,Buffalo,MN,Other,,1,Indirect,Pistol,1,0,0,1,5,5,5,0,0,4,4,4,0,0,1,1,1,0,0,Surrendered,No,67,,,Male,,,Caucasian,,
409,2021-02-20,2021,Feb,Sat,14,70058,Yes,No,Metaririe,LA,Business,,1,No relationship,Pistol,3,0,0,3,2,4,2,0,0,2,2,2,0,0,2,2,2,0,0,Shot by citizen,Yes,27,,,Male,,,African American,,
410,2021-03-16,2021,Mar,Tue,16,30308,No,Yes,Atlanta,GA,Business,,1,No relationship,Pistol,1,0,0,1,9,9,9,0,0,1,1,1,0,0,8,8,8,0,0,Subdued by police,No,21,,,Male,,,Caucasian,,
411,2021-03-20,2021,Mar,Sat,11,60644,No,No,Austin,IL,Outdoors,,1,No relationship,Pistol,1,0,0,1,2,1,1,1,0,2,1,1,1,0,0,0,0,0,0,Surrendered,No,29,,,Male,,,African American,,
412,2021-03-22,2021,Mar,Mon,14,80303,No,No,Boulder,CO,Business,,1,No relationship,Rifle,1,0,1,2,11,10,10,1,0,1,0,1,0,0,10,10,9,1,0,Shot by police,No,21,,,Male,,,Middle Eastern,,
413,2021-03-28,2021,Mar,Sun,7,21117,No,No,Baltimore,MD,Business,,1,No relationship,Pistol,1,0,0,1,3,5,3,0,0,1,1,1,0,0,2,4,2,0,0,Fled,Yes,27,,,Male,,,Caucasian,,
414,2021-03-31,2021,Mar,Wed,17,90805,No,No,Orange,CA,Business,,1,Indirect,Pistol,1,0,0,1,5,5,5,0,0,1,1,1,0,0,4,4,4,0,0,Shot by police,No,44,,,Male,,,Latino,,
415,2021-04-06,2021,Apr,Tue,8,21701,No,No,Frederick,MD,Other,,1,Coworker,Rifle,1,0,1,2,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,Fled,Yes,38,,,Male,,,African American,,
416,2021-04-08,2021,Apr,Thu,14,77801,No,No,Bryan,TX,Business,,1,Coworker,Pistol,1,0,0,1,5,6,5,0,0,4,5,4,0,0,1,1,1,0,0,Fled,Yes,27,,,Male,,,Caucasian,,
417,2021-04-10,2021,Apr,Sat,5,65692,No,No,Koshkonong,MO,Business,,1,No relationship,Pistol,1,0,0,1,4,4,4,0,0,3,3,3,0,0,1,1,1,0,0,Fled,Yes,28,,,Male,,,Caucasian,,
418,2021-04-13,2021,Apr,Tue,12,06405,No,No,Branford,CT,Outdoors,,1,No relationship,Rifle,8,0,5,13,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,Suicide after police arrival,No,38,,,Male,,,Caucasian,,
419,2021-04-15,2021,Apr,Thu,14,78216,No,Yes,San Antonio,TX,Outdoors,,1,No relationship,Pistol,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Shot by police,No,46,,,Male,,,Latino,,
420,2021-04-15,2021,Apr,Thu,23,46241,No,No,Indianapolis,IN,Business,,1,Other,Rifle,0,0,2,2,12,15,12,0,0,4,7,4,0,0,8,8,8,0,0,Suicide before police arrival,Yes,19,,,Male,,,Caucasian,,
421,2021-04-20,2021,Apr,Tue,11,11552,No,No,West Hempstead,NY,Business,,1,No relationship,Pistol,1,0,0,1,3,3,3,0,0,2,2,2,0,0,1,1,1,0,0,Fled,Yes,30,,,Male,,,African American,,
422,2021-04-21,2021,Apr,Wed,4,18106,Yes,Yes,Allentown,PA,Outdoors,,1,No relationship,Pistol,1,0,0,1,2,2,2,0,0,1,1,1,0,0,1,1,1,0,0,Fled,Yes,45,,,Male,,,Asian,,
423,2021-04-22,2021,Apr,Thu,22,92101,No,No,San Diego,CA,Outdoors,,1,No relationship,Pistol,1,0,0,1,5,5,5,0,0,4,4,4,0,0,1,1,1,0,0,Subdued by citizens,Yes,32,,,Male,,,Caucasian,,
424,2021-04-27,2021,Apr,Tue,0,92831,No,Yes,Fullerton,CA,Outdoors,,1,No relationship,Pistol,1,0,0,1,3,3,3,0,0,1,1,1,0,0,2,2,2,0,0,Shot by police,No,49,,,Male,,,Latino,,
425,2021-05-01,2021,May,Sat,19,54313,Yes,No,Green Bay,WI,Business,,1,No relationship,Pistol,1,0,0,1,3,3,3,0,0,1,1,1,0,0,2,2,2,0,0,Shot by police,No,62,,,Male,,,Caucasian,,
426,2021-05-06,2021,May,Thu,8,83442,No,No,Rigby,ID,School,Middle school,1,Student,Pistol,1,0,0,1,3,3,3,0,0,3,3,3,0,0,0,0,0,0,0,Subdued by citizens,Yes,13,,,Female,,,,,
427,2021-05-15,2021,May,Sat,7,72903,No,No,Fort Smith,AR,Other,,1,No relationship,Rifle,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,Shot by citizen,Yes,26,,,Male,,,Caucasian,,
428,2021-05-26,2021,May,Wed,6,95134,No,No,San Jose,CA,Business,,1,Coworker,Pistol,3,0,0,3,9,9,9,0,0,0,0,0,0,0,9,9,9,0,0,Suicide after police arrival,No,57,,,Male,,,Caucasian,,
429,2021-05-29,2021,May,Sat,15,46268,No,Yes,Indianapolis,IN,Outdoors,,1,No relationship,Pistol,2,0,0,2,3,4,2,1,0,4,4,3,1,0,0,0,0,0,0,Shot by police,No,22,,,Male,,,African American,,
430,2021-06-05,2021,Jun,Sat,8,30305,No,Yes,Atlanta,GA,Outdoors,,1,No relationship,Pistol,1,0,0,1,1,1,1,0,0,2,1,2,0,0,0,0,0,0,0,Fled,Yes,22,,,Male,,,African American,,
431,2021-06-08,2021,Jun,Tue,1,77007,Yes,No,Houston,TX,Business,,3,No relationship,Rifle,0,0,1,1,5,5,5,0,0,5,5,5,0,0,0,0,0,0,0,Fled,Yes,,,,Male,Male,Male,,,
432,2021-06-10,2021,Jun,Thu,11,33414,No,No,Royal Palm Beach,FL,Business,,1,No relationship,Pistol,1,0,0,1,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,Suicide before police arrival,Yes,55,,,Male,,,Caucasian,,
433,2021-06-11,2021,Jun,Fri,20,36867,No,Yes,Phenix City/Columbus,AL,Outdoors,,1,No relationship,Pistol,1,0,0,1,5,5,5,0,0,5,5,5,0,0,0,0,0,0,0,Fled,Yes,39,,,Male,,,African American,,
434,2021-06-14,2021,Jun,Mon,15,27101,No,No,Winston-Salem,NC,Other,,1,No relationship,Rifle,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shot by police,No,27,,,Male,,,Caucasian,,
435,2021-06-15,2021,Jun,Tue,2,35950,No,No,Albertville,AL,Business,,1,Coworker,Pistol,1,0,0,1,4,4,4,0,0,2,2,2,0,0,2,2,2,0,0,Fled,Yes,34,,,Male,,,African American,,
436,2021-06-16,2021,Jun,Wed,18,85027,No,Yes,Phoenix,AZ,Outdoors,,1,No relationship,Rifle,0,0,1,1,4,13,4,0,0,3,12,3,0,0,1,1,1,0,0,Subdued by police,No,19,,,Male,,,African American,,
437,2021-06-21,2021,Jun,Mon,13,80002,No,No,Arvada,CO,Outdoors,,1,No relationship,Rifle,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,Shot by citizen,No,59,,,Male,,,Caucasian,,
438,2021-06-23,2021,Jun,Wed,0,28734,No,No,Franklin,NC,Business,,1,No relationship,Rifle,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fled,Yes,58,,,Male,,,Caucasian,,
439,2021-06-23,2021,Jun,Wed,15,37066,No,Yes,Gallatin,TN,Outdoors,,1,No relationship,Pistol,1,0,0,1,4,2,4,0,0,4,2,4,0,0,0,0,0,0,0,Suicide before police arrival,Yes,22,,,Male,,,African American,,
440,2021-06-26,2021,Jun,Sat,14,02152,No,No,Winthrop,MA,Outdoors,,1,No relationship,Pistol,2,0,0,2,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,Shot by police,No,28,,,Male,,,Caucasian,,
441,2021-06-27,2021,Jun,Sun,23,46755,No,No,Kendallville,IN,Business,,1,No relationship,Pistol,1,0,0,1,3,3,3,0,0,2,2,2,0,0,1,1,1,0,0,Fled,Yes,24,,,Male,,,Latino,,
442,2021-07-01,2021,Jul,Thu,15,29307,No,No,Spartanburg,SC,Outdoors,,1,No relationship,Pistol,1,0,0,1,4,5,3,1,0,4,4,3,1,0,1,1,1,0,0,Fled,Yes,45,,,Male,,,African American,,
443,2021-07-03,2021,Jul,Sat,10,28608,No,Yes,Boone,NC,Outdoors,,1,No relationship,Pistol,2,0,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,Subdued by police,No,24,,,Male,,,Latino,,
444,2021-07-18,2021,Jul,Sun,15,85713,No,Yes,Tucson,AZ,Outdoors,,1,No relationship,Pistol,1,0,0,1,5,7,5,0,0,4,4,4,0,0,1,3,1,0,0,Shot by police,No,35,,,Male,,,African American,,
445,2021-07-18,2021,Jul,Sun,23,77092,No,No,Houston,TX,Business,,1,No relationship,Pistol,1,0,0,1,4,4,4,0,0,2,2,2,0,0,2,2,2,0,0,Shot by police,No,35,,,Male,,,African American,,
